"","time","Away","Home","Park","temp","precip","blowing_right","blowing_out","date"
"196","07:05 PM EST","  Reds  ","  Phillies  ","Citizens Bank Park",86,0,-6.2456986756515e-16,5.1,2022-08-25
"197","07:05 PM EST","  White Sox  ","  Orioles  ","Oriole Park at Camden Yards",80,1,-2.82842712474619,2.82842712474619,2022-08-25
"198","07:10 PM EST","  Rockies  ","  Mets  ","Citi Field",82,2,-1.38385088303651e-15,11.3,2022-08-25
"199","07:10 PM EST","  Blue Jays  ","  Red Sox  ","Fenway Park",83,1,2.67878402655563,-6.46715672757901,2022-08-25
"200","08:10 PM EST","  Twins  ","  Astros  ","Minute Maid Park",89,0,0,0,2022-08-25
"201","09:40 PM EST","  Yankees  ","  Athletics  ","Oakland Coliseum",64,0,5.939696961967,5.939696961967,2022-08-25
"202","06:40 PM EST","  Dodgers  ","  Marlins  ","loanDepot park",88,0,0,0,2022-08-26
"203","07:05 PM EST","  Pirates  ","  Phillies  ","Citizens Bank Park",87,2,5.09116882454314,5.09116882454314,2022-08-26
"204","07:05 PM EST","  Reds  ","  Nationals  ","Nationals Park",89,0,2.89913780286484,2.89913780286485,2022-08-26
"205","07:07 PM EST","  Angels  ","  Blue Jays  ","Rogers Centre",72,0,0,0,2022-08-26
"206","07:10 PM EST","  Rockies  ","  Mets  ","Citi Field",83,12,-9.55224503334935e-16,7.8,2022-08-26
"207","07:10 PM EST","  Rays  ","  Red Sox  ","Fenway Park",72,41,1.68380710240639,4.06506994304966,2022-08-26
"208","08:05 PM EST","  Tigers  ","  Rangers  ","Globe Life Field",91,0,0,0,2022-08-26
"209","08:10 PM EST","  Cubs  ","  Brewers  ","American Family Field",70,0,0,0,2022-08-26
"210","08:10 PM EST","  Diamondbacks  ","  White Sox  ","Guaranteed Rate Field",71,0,6.83670854058352,2.83185739950166,2022-08-26
"211","08:10 PM EST","  Giants  ","  Twins  ","Target Field",78,0,-7.3,-4.46996081688784e-16,2022-08-26
"212","08:10 PM EST","  Padres  ","  Royals  ","Kauffman Stadium",88,0,-6.83670854058352,-2.83185739950166,2022-08-26
"213","08:10 PM EST","  Orioles  ","  Astros  ","Minute Maid Park",87,0,0,0,2022-08-26
"214","08:15 PM EST","  Braves  ","  Cardinals  ","Busch Stadium",85,0,1.87514881858894,-4.52700970930531,2022-08-26
"215","09:40 PM EST","  Yankees  ","  Athletics  ","Oakland Coliseum",68,0,5.30330085889911,5.30330085889911,2022-08-26
"216","10:10 PM EST","  Guardians  ","  Mariners  ","T-Mobile Park",70,0,0,0,2022-08-26
"217","03:07 PM EST","  Angels  ","  Blue Jays  ","Rogers Centre",71,0,0,0,2022-08-27
"218","04:10 PM EST","  Rays  ","  Red Sox  ","Fenway Park",74,0,-4.01817603983344,-9.70073509136851,2022-08-27
"219","06:05 PM EST","  Pirates  ","  Phillies  ","Citizens Bank Park",86,4,-6.1,-3.73517273739943e-16,2022-08-27
"220","06:10 PM EST","  Dodgers  ","  Marlins  ","loanDepot park",86,0,0,0,2022-08-27
"221","07:05 PM EST","  Tigers  ","  Rangers  ","Globe Life Field",94,0,0,0,2022-08-27
"222","07:05 PM EST","  Reds  ","  Nationals  ","Nationals Park",85,1,-4.2,-2.57175827820944e-16,2022-08-27
"223","07:10 PM EST","  Orioles  ","  Astros  ","Minute Maid Park",85,0,0,0,2022-08-27
"224","07:10 PM EST","  Cubs  ","  Brewers  ","American Family Field",74,0,0,0,2022-08-27
"225","07:10 PM EST","  Diamondbacks  ","  White Sox  ","Guaranteed Rate Field",78,0,7.85297602634594,-3.25280917510326,2022-08-27
"226","07:10 PM EST","  Rockies  ","  Mets  ","Citi Field",81,1,-4.17193000900063,4.17193000900063,2022-08-27
"227","07:10 PM EST","  Padres  ","  Royals  ","Kauffman Stadium",88,1,-9.9778989511219,4.13298106954297,2022-08-27
"228","07:15 PM EST","  Giants  ","  Twins  ","Target Field",81,18,-10,-6.12323399573677e-16,2022-08-27
"229","07:15 PM EST","  Braves  ","  Cardinals  ","Busch Stadium",87,0,-4.71178561580756,-1.95168550506196,2022-08-27
"230","09:07 PM EST","  Yankees  ","  Athletics  ","Oakland Coliseum",64,0,-9.18485099360515e-16,7.5,2022-08-27
"231","10:10 PM EST","  Guardians  ","  Mariners  ","T-Mobile Park",68,0,0,0,2022-08-27
