team,conference,athlete_id,player,category,rushing_car,rushing_yds,rushing_td,rushing_ypc,rushing_long,week,team_rushes,runshare,season_team_rushes,season_rushes,total_runshare,avg_runshare,year,position
Boise State,Mountain West,4260440,Chase Cord,rushing,1,44,1,44,44,1,29,0.0344827586206897,519,8,0.0154142581888247,0.0496834915875396,2018,QB
Boston College,ACC,4035312,Anthony Brown,rushing,1,8,0,8,8,1,60,0.0166666666666667,560,54,0.0964285714285714,0.112443223810079,2018,QB
Boston College,ACC,4239936,EJ Perry,rushing,2,23,0,11.5,15,1,60,0.0333333333333333,560,20,0.0357142857142857,0.132758907758908,2018,QB
Bowling Green,Mid-American,4244029,Jarret Doege,rushing,5,-11,0,-2.2,8,1,50,0.1,423,51,0.120567375886525,0.120141631785816,2018,QB
BYU,FBS Independents,545796,Tanner Mangum,rushing,3,0,0,0,1,1,43,0.0697674418604651,447,13,0.029082774049217,0.0856971858510846,2018,QB
California,Pac-12,4038833,Brandon McIlwain,rushing,3,26,0,8.7,17,1,49,0.0612244897959184,451,76,0.168514412416851,0.225949126251138,2018,QB
California,Pac-12,3858269,Ross Bowers,rushing,3,-7,0,-2.3,6,1,49,0.0612244897959184,451,3,0.00665188470066519,0.0612244897959184,2018,QB
California,Pac-12,4242408,Chase Garbers,rushing,10,39,0,3.9,17,1,49,0.204081632653061,451,91,0.201773835920177,0.238092967016182,2018,QB
Charlotte,Conference USA,4259269,Chris Reynolds,rushing,5,-21,0,-4.2,8,1,47,0.106382978723404,526,40,0.0760456273764259,0.161075178922316,2018,QB
Cincinnati,American Athletic,4239086,Desmond Ridder,rushing,14,63,0,4.5,32,1,51,0.274509803921569,566,148,0.261484098939929,0.260868513973781,2018,QB
Cincinnati,American Athletic,3125813,Hayden Moore,rushing,2,-11,0,-5.5,0,1,51,0.0392156862745098,566,16,0.0282685512367491,0.0555761841651575,2018,QB
Clemson,ACC,3728240,Kelly Bryant,rushing,5,44,1,8.8,35,1,35,0.142857142857143,502,30,0.0597609561752988,0.213288259144237,2018,QB
Clemson,ACC,4239994,Chase Brice,rushing,2,6,0,3,6,1,35,0.0571428571428571,502,13,0.0258964143426295,0.0567036277562593,2018,QB
Clemson,ACC,4360310,Trevor Lawrence,rushing,3,1,0,0.3,4,1,35,0.0857142857142857,502,47,0.0936254980079681,0.0984369013688236,2018,QB
Coastal Carolina,Sun Belt,3124529,Kilton Anderson,rushing,10,8,0,0.8,9,1,39,0.256410256410256,513,56,0.10916179337232,0.163053123855233,2018,QB
Coastal Carolina,Sun Belt,4361032,Bryce Carpenter,rushing,2,-3,0,-1.5,0,1,39,0.0512820512820513,513,57,0.111111111111111,0.185679033728965,2018,QB
Colorado,Pac-12,3915436,Steven Montez,rushing,3,34,1,11.3,38,1,40,0.075,455,94,0.206593406593407,0.219049546962599,2018,QB
Colorado,Pac-12,4040880,Sam Noyer,rushing,1,-3,0,-3,0,1,40,0.025,455,4,0.00879120879120879,0.0419871794871795,2018,QB
Colorado State,Mountain West,3127291,K.J. Carta-Samuels,rushing,15,29,0,1.9,11,1,64,0.234375,393,45,0.114503816793893,0.145412800332265,2018,QB
Duke,ACC,3917792,Daniel Jones,rushing,10,43,1,4.3,14,1,35,0.285714285714286,441,98,0.222222222222222,0.29876881288646,2018,QB
Duke,ACC,3917793,Quentin Harris,rushing,2,10,0,5,9,1,35,0.0571428571428571,441,40,0.090702947845805,0.091508343783337,2018,QB
East Carolina,American Athletic,4038520,Reid Herring,rushing,4,-4,0,-1,2,1,29,0.137931034482759,428,24,0.0560747663551402,0.0905953971515185,2018,QB
Eastern Michigan,Mid-American,4259127,Mike Glass III,rushing,3,22,1,7.3,16,1,38,0.0789473684210526,471,62,0.131634819532909,0.210858162169424,2018,QB
Eastern Michigan,Mid-American,3144983,Tyler Wiegers,rushing,2,11,0,5.5,8,1,38,0.0526315789473684,471,65,0.138004246284501,0.162609959727601,2018,QB
Florida,SEC,4034948,Feleipe Franks,rushing,5,34,0,6.8,11,1,39,0.128205128205128,484,96,0.198347107438017,0.198147962960688,2018,QB
Florida,SEC,4034946,Kyle Trask,rushing,3,7,1,2.3,12,1,39,0.0769230769230769,484,5,0.0103305785123967,0.0741758241758242,2018,QB
Florida,SEC,4360230,Emory Jones,rushing,3,-4,0,-1.3,7,1,39,0.0769230769230769,484,14,0.0289256198347107,0.128343728343728,2018,QB
Florida Atlantic,Conference USA,4243787,De'Andre Johnson,rushing,9,39,0,4.3,13,1,43,0.209302325581395,580,35,0.0603448275862069,0.111763780752633,2018,QB
Florida Atlantic,Conference USA,4241399,Chris Robison,rushing,6,-8,0,-1.3,2,1,43,0.13953488372093,580,73,0.125862068965517,0.145108151155792,2018,QB
Florida International,Conference USA,3914395,James Morgan,rushing,4,-1,0,-0.3,4,1,39,0.102564102564103,441,29,0.0657596371882086,0.0771700757557116,2018,QB
Florida International,Conference USA,3914306,Christian Alexander,rushing,3,7,0,2.3,5,1,39,0.0769230769230769,441,14,0.0317460317460317,0.0562396262911017,2018,QB
Florida State,ACC,3921561,Deondre Francois,rushing,7,-28,0,-4,1,1,28,0.25,392,78,0.198979591836735,0.214608083951468,2018,QB
Fresno State,Mountain West,3127332,Marcus McMaryion,rushing,5,4,0,0.8,5,1,46,0.108695652173913,474,67,0.141350210970464,0.143485006556205,2018,QB
Fresno State,Mountain West,4242995,Jorge Reyna,rushing,3,28,0,9.3,15,1,46,0.0652173913043478,474,9,0.0189873417721519,0.0475707054196757,2018,QB
Georgia,SEC,4362887,Justin Fields,rushing,3,33,0,11,17,1,33,0.0909090909090909,537,42,0.0782122905027933,0.0837031161743438,2018,QB
Georgia,SEC,4379400,Matthew Downing,rushing,1,2,0,2,2,1,33,0.0303030303030303,537,4,0.0074487895716946,0.0347197464844524,2018,QB
Georgia State,Sun Belt,4361902,Dan Ellington,rushing,18,77,0,4.3,24,1,38,0.473684210526316,466,158,0.339055793991416,0.389856323244649,2018,QB
Georgia Tech,ACC,3917810,TaQuon Marshall,rushing,9,77,1,8.6,28,1,54,0.166666666666667,701,194,0.276747503566334,0.318799565067339,2018,QB
Hawai'i,Mountain West,4038220,Cole McDonald,rushing,19,82,2,4.3,21,1,64,0.296875,384,123,0.3203125,0.370500155681607,2018,QB
Houston,American Athletic,4039300,D'Eriq King,rushing,7,33,1,4.7,12,1,36,0.194444444444444,495,111,0.224242424242424,0.245567653369663,2018,QB
Illinois,Big Ten,3116087,AJ Bush,rushing,21,139,0,6.6,40,1,49,0.428571428571429,497,138,0.277665995975855,0.34519190375234,2018,QB
Indiana,Big Ten,4386270,Michal Penix Jr,rushing,2,8,0,4,5,1,45,0.0444444444444444,431,2,0.00464037122969838,0.0444444444444444,2018,QB
Indiana,Big Ten,4045290,Peyton Ramsey,rushing,8,36,0,4.5,19,1,45,0.177777777777778,431,111,0.25754060324826,0.278422017797018,2018,QB
Iowa,Big Ten,4240570,Peyton Mansell,rushing,1,1,1,1,1,1,50,0.02,470,8,0.0170212765957447,0.0344994224994225,2018,QB
Iowa,Big Ten,4036149,Nathan Stanley,rushing,3,3,0,1,5,1,50,0.06,470,32,0.0680851063829787,0.0708784188372381,2018,QB
Kansas,Big 12,4360331,Miles Kendrick,rushing,2,1,0,0.5,4,1,32,0.0625,423,16,0.0378250591016548,0.104811507936508,2018,QB
Kansas,Big 12,3127261,Peyton Bender,rushing,10,-15,0,-1.5,15,1,32,0.3125,423,34,0.0803782505910166,0.0948083195150644,2018,QB
Kansas State,Big 12,4036419,Skylar John Thompson,rushing,11,58,0,5.3,44,1,47,0.234042553191489,507,105,0.207100591715976,0.228844085476097,2018,QB
Kansas State,Big 12,3886634,Alex Delton,rushing,12,78,0,6.5,24,1,47,0.25531914893617,507,85,0.167652859960552,0.291356735125732,2018,QB
Kent State,Mid-American,4362340,Woody Barrett,rushing,18,117,1,6.5,23,1,43,0.418604651162791,495,163,0.329292929292929,0.335187470487385,2018,QB
Kentucky,SEC,4038940,Terry Wilson,rushing,9,38,0,4.2,13,1,43,0.209302325581395,487,125,0.256673511293634,0.264060550640899,2018,QB
Louisiana,Sun Belt,4241556,Levi Lewis,rushing,2,-1,0,-0.5,4,1,43,0.0465116279069767,524,23,0.0438931297709924,0.054062083885622,2018,QB
Louisiana,Sun Belt,4241553,Andre Nunez,rushing,5,21,1,4.2,18,1,43,0.116279069767442,524,47,0.0896946564885496,0.104150816952027,2018,QB
Louisiana Monroe,Sun Belt,4036585,Caleb Evans,rushing,13,62,1,4.8,14,1,43,0.302325581395349,417,140,0.335731414868106,0.337091078899147,2018,QB
Louisiana Tech,Conference USA,3914382,J'Mar Smith,rushing,8,8,0,1,13,1,49,0.163265306122449,403,83,0.205955334987593,0.208285758943969,2018,QB
Louisville,ACC,4035995,Jawon Pass,rushing,8,0,0,0,11,1,26,0.307692307692308,408,76,0.186274509803922,0.202087627345064,2018,QB
LSU,SEC,3915511,Joe Burrow,rushing,4,14,0,3.5,11,1,41,0.0975609756097561,511,119,0.232876712328767,0.236638110713613,2018,QB
Marshall,Conference USA,4261909,Isaiah Green,rushing,8,22,0,2.8,14,1,38,0.210526315789474,433,40,0.092378752886836,0.141350217866236,2018,QB
