Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Nate Kurisky (23968833),Nate Kurisky,23968833,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UL,0
WR,Braden Smith (23968842),Braden Smith,23968842,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UL,7.15
WR,Amari Johnson (23968851),Amari Johnson,23968851,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,4.21
WR,Jaelin Carter (23968854),Jaelin Carter,23968854,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UL,0
WR,Dionte Marks (23968857),Dionte Marks,23968857,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,4
WR,Jordan Johnson (23968869),Jordan Johnson,23968869,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,0
WR,Joey Gatewood (23968872),Joey Gatewood,23968872,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,2.49
WR,JaJuan Forte' (23968875),JaJuan Forte',23968875,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,0
WR,Xavier Townsend (23968884),Xavier Townsend,23968884,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,0
WR,Jarrad Baker (23968887),Jarrad Baker,23968887,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,0
WR,Cade Sams (23968890),Cade Sams,23968890,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,0
WR,Quan Lee (23968932),Quan Lee,23968932,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,0
WR,Dwartney Wortham (23968935),Dwartney Wortham,23968935,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,0
WR,Tyler Griffin (23968938),Tyler Griffin,23968938,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,0
WR,Cullen Smith (23968941),Cullen Smith,23968941,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,0
WR,Andrew Dickson (23968944),Andrew Dickson,23968944,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UCF,0
WR,Christian Henry (23968947),Christian Henry,23968947,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UL,0
WR,Austin Holland (23968950),Austin Holland,23968950,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UL,0
WR,Jatavian Churchill (23968953),Jatavian Churchill,23968953,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UL,0
WR,Chance Morrow (23968956),Chance Morrow,23968956,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UL,0
WR,Elijah Downing (23968959),Elijah Downing,23968959,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UL,1.9
WR,Gerald Hanson (23968962),Gerald Hanson,23968962,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UL,0
WR,Chris Bell (23968965),Chris Bell,23968965,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UL,0
WR,Bradley West (23968968),Bradley West,23968968,WR/FLEX/S-FLEX,3000,UL@UCF 09/09/2022 07:30PM ET,UL,0
RB,Tyler Crowe (23968608),Tyler Crowe,23968608,RB/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,BSU,2.4
RB,Chad Alexander (23968611),Chad Alexander,23968611,RB/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,1.61
RB,Kaden Dudley (23968614),Kaden Dudley,23968614,RB/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,BSU,0
RB,Jaden Hullaby (23968620),Jaden Hullaby,23968620,RB/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,0
RB,Danny Smith (23968632),Danny Smith,23968632,RB/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,BSU,0.85
RB,Taylor Marcum (23968635),Taylor Marcum,23968635,RB/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,BSU,0
RB,Taequan Tyler (23968638),Taequan Tyler,23968638,RB/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,BSU,1.57
RB,Ethan Mikita (23968641),Ethan Mikita,23968641,RB/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,BSU,0
RB,Dennis Hayden (23968644),Dennis Hayden,23968644,RB/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,0
RB,Peyton Dixon (23968647),Peyton Dixon,23968647,RB/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,4
RB,Jaylen Morgan (23968650),Jaylen Morgan,23968650,RB/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,0
RB,Ray Iwai (23968653),Ray Iwai,23968653,RB/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,0
RB,Zach Vigil (23968656),Zach Vigil,23968656,RB/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,0
RB,Myron Carter (23968659),Myron Carter,23968659,RB/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,0
RB,Christian Washington (23968662),Christian Washington,23968662,RB/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,0
WR,Will Dennis (23968752),Will Dennis,23968752,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,0
WR,Connor Witthoft (23968758),Connor Witthoft,23968758,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,4.15
WR,Elijah Queen (23968764),Elijah Queen,23968764,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,2.4
WR,Caleb Marra (23968773),Caleb Marra,23968773,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,0
WR,Matt Lauter (23968782),Matt Lauter,23968782,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,BSU,0
WR,Luke Voorhees (23968785),Luke Voorhees,23968785,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,BSU,0
WR,Jack Beresford (23968791),Jack Beresford,23968791,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,BSU,0
WR,Russell Corrigan (23968794),Russell Corrigan,23968794,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,BSU,0
WR,Casey Kline (23968797),Casey Kline,23968797,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,BSU,0
WR,Austin Terry (23968800),Austin Terry,23968800,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,BSU,0
WR,Jeremiah Mestre-Elliott (23968803),Jeremiah Mestre-Elliott,23968803,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,0
WR,Jacob Trussell (23968806),Jacob Trussell,23968806,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,0
WR,Jace Taylor (23968836),Jace Taylor,23968836,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,2
WR,Andrew Erickson (23968839),Andrew Erickson,23968839,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,3.42
WR,Trae Hall (23968845),Trae Hall,23968845,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,3.01
WR,Shea Whiting (23968848),Shea Whiting,23968848,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,BSU,0
WR,Eric McAlister (23968860),Eric McAlister,23968860,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,BSU,0
WR,Kade Zimmerman (23968863),Kade Zimmerman,23968863,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,0
WR,Kai Jessie (23968866),Kai Jessie,23968866,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,UNM,0
WR,Ben Ford (23968878),Ben Ford,23968878,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,BSU,0
WR,Connor Riddle (23968881),Connor Riddle,23968881,WR/FLEX/S-FLEX,3000,BSU@UNM 09/09/2022 09:00PM ET,BSU,0
