"","year","team","week","tpp","L3_tpp"
"4113",2019,"West Virginia",11,22.6329113924051,25.2062049730759
"4114",2019,"Northwestern",11,26.28,24.9216081310352
"4115",2019,"South Florida",11,26.3466666666667,25.6526023212023
"4116",2019,"Texas Tech",11,23.8421052631579,22.5892591213701
"4117",2019,"Coastal Carolina",11,28.9818181818182,26.3484912722476
"4118",2019,"Louisiana",11,27.4794520547945,25.4039764905221
"4119",2019,"North Texas",11,21.6551724137931,22.854671979672
"4120",2019,"UMass",11,22.8085106382979,22.9919299450549
"4121",2019,"Boise State",11,28,26.1611379797615
"4122",2019,"Ball State",11,25.2153846153846,24.8877986594877
"4123",2019,"Kentucky",11,35.169014084507,31.5094314485325
"4124",2019,"Texas",11,28.9076923076923,23.0607404246045
"4125",2019,"Boston College",11,24.7849462365591,23.6103639371381
"4126",2019,"UAB",11,33.1206896551724,29.3062934305523
"4127",2019,"Florida",11,23.1594202898551,27.4951541514042
"4128",2019,"Hawai'i",11,28.044776119403,24.5594902598818
"4129",2019,"UT San Antonio",11,27.8088235294118,25.7565034226097
"4130",2019,"NC State",11,24.15,23.2165662242687
"4131",2019,"UCF",11,18.8928571428571,20.0603841777976
"4132",2019,"Alabama",11,22.4411764705882,28.7044033809731
"4133",2019,"Wisconsin",11,31.169014084507,33.2637547556336
"4134",2019,"Ohio",12,24.875,29.7431760885809
"4135",2019,"Southern Mississippi",12,24.1506849315068,28.8214666423197
"4136",2019,"Louisiana Monroe",12,23.6417910447761,25.2487831921576
"4137",2019,"Eastern Michigan",12,30.2238805970149,24.305257718112
"4138",2019,"Ole Miss",12,22.943661971831,22.035975678733
"4139",2019,"TCU",12,27.4315789473684,25.6407508537596
"4140",2019,"Virginia Tech",12,31.1311475409836,27.3223190643955
"4141",2019,"Oklahoma",12,25.7473684210526,25.6286864511642
"4142",2019,"Kent State",12,21.7230769230769,22.3320931505539
"4143",2019,"Rice",12,29.8461538461538,28.3828754442107
"4144",2019,"Rutgers",12,28.5757575757576,30.330641282253
"4145",2019,"Kansas State",12,27.2467532467532,31.0393022448535
"4146",2019,"Arizona",12,24.1449275362319,21.4889448051948
"4147",2019,"Missouri",12,25.4117647058824,25.3182799001765
"4148",2019,"Temple",12,25.1285714285714,24.9362264130115
"4149",2019,"Utah State",12,20.3670886075949,21.2489555053663
"4150",2019,"Bowling Green",12,28.2222222222222,26.1898892532449
"4151",2019,"Miami (OH)",12,30.1538461538462,26.082243594546
"4152",2019,"Northern Illinois",12,26.9041095890411,28.11438986483
"4153",2019,"Duke",12,23.0823529411765,24.0500595512969
"4154",2019,"Central Michigan",12,22.8947368421053,26.1319453463203
"4155",2019,"Appalachian State",12,27.625,26.1899305197926
"4156",2019,"Georgia",12,25.984375,30.7735021066914
"4157",2019,"Louisiana",12,24.6849315068493,25.757172837554
"4158",2019,"South Florida",12,25.8918918918919,25.993175237869
"4159",2019,"Georgia Southern",12,32.5161290322581,31.400504917457
"4160",2019,"Cincinnati",12,25.5151515151515,26.5558812645991
"4161",2019,"UNLV",12,28.469387755102,27.313349191966
"4162",2019,"Fresno State",12,27.4423076923077,27.556436633596
"4163",2019,"North Carolina",12,21.5769230769231,22.5813112384215
"4164",2019,"Kansas",12,24.4,25.5593159559071
"4165",2019,"Wake Forest",12,32.2941176470588,20.9768382352941
"4166",2019,"NC State",12,21.9012345679012,23.7821912242687
"4167",2019,"Pittsburgh",12,24.5769230769231,26.0816786552836
