"","player","player_id","position","team_name","player_game_count","caught_percent","first_downs","franchise_id","fumbles","longest","receptions","targets","touchdowns","yards","yards_per_reception","week","year","team_targets","rec_usage","season_team_targets","season_targets","season_usage","dk_pts","fd_pts","string","L3_rec_usage"
"39","Patrick Taylor Jr.",40448,"HB","MEMPHIS",1,100,0,218,0,5,2,2,0,8,4,2,2018,25,0.08,395,24,0.0607594936708861,2.8,1.8,2,0.0526315789473684
"40","Kumehnnu Gwilly",40495,"HB","C MICHIGAN",1,100,0,134,0,7,2,2,0,10,5,2,2018,32,0.0625,345,10,0.0289855072463768,3,2,2,0.0833333333333333
"41","Vavae Malepeai",40626,"HB","USC",1,50,1,326,0,10,1,2,0,10,10,2,2018,33,0.0606060606060606,378,17,0.044973544973545,2,1.5,3,0.0571428571428571
"42","Christian Hosley",41158,"HB","N TEXAS",1,100,1,251,0,6,2,2,0,6,3,2,2018,47,0.0425531914893617,457,3,0.00656455142231947,2.6,1.6,4,0.0204081632653061
"43","T.J. Hammonds",41365,"HB","ARKANSAS",1,50,1,111,0,64,1,2,1,64,64,2,2018,20,0.1,348,6,0.0172413793103448,13.4,12.9,4,0.0344827586206897
"44","Adrian Killins Jr.",42425,"HB","UCF",1,50,0,323,0,5,1,2,0,5,5,2,2018,40,0.05,364,25,0.0686813186813187,1.5,1,3,0.0303030303030303
"45","Aaron McAllister",42962,"HB","CHARLOTTE",1,50,1,136,0,13,1,2,0,13,13,2,2018,20,0.1,277,10,0.036101083032491,2.3,1.8,2,0.05
"46","Qua Searcy",45640,"FB","GA TECH",1,100,2,176,0,21,2,2,0,39,19.5,2,2018,16,0.125,110,17,0.154545454545455,5.9,4.9,4,0.0555555555555556
"47","Jacques Patrick",45704,"HB","FLORIDA ST",1,100,2,167,0,20,2,2,0,37,18.5,2,2018,44,0.0454545454545455,423,18,0.0425531914893617,5.7,4.7,2,0.147058823529412
"48","Armond Weh-Weh",45717,"HB","ARK STATE",1,50,1,113,0,26,1,2,0,26,26,2,2018,46,0.0434782608695652,449,4,0.0089086859688196,3.6,3.1,3,0.0789473684210526
"49","Jabir Daughtry-Frye",45722,"HB","TROY",1,100,1,318,0,15,2,2,0,24,12,2,2018,38,0.0526315789473684,355,24,0.0676056338028169,4.4,3.4,3,0.0294117647058824
"50","James Gilbert",45836,"HB","BALL ST",1,50,1,117,0,8,1,2,0,8,8,2,2018,42,0.0476190476190476,439,19,0.0432801822323462,1.8,1.3,1,0.0571428571428571
"51","Markell Jones",45858,"HB","PURDUE",1,50,1,273,0,7,1,2,1,7,7,2,2018,24,0.0833333333333333,481,23,0.0478170478170478,7.7,7.2,2,0.0487804878048781
"52","Justice Hill",45865,"HB","OKLA STATE",1,50,1,262,0,11,1,2,0,11,11,2,2018,41,0.0487804878048781,470,16,0.0340425531914894,2.1,1.6,1,0.0263157894736842
"53","Malik Dunner",45900,"HB","BALL ST",1,50,0,117,0,-3,1,2,0,-3,-3,2,2018,42,0.0476190476190476,439,30,0.0683371298405467,0.7,0.2,3,0.0571428571428571
"54","Myles Gaskin",45914,"HB","WASHINGTON",1,50,0,340,0,2,1,2,0,2,2,2,2018,43,0.0465116279069767,381,29,0.0761154855643045,1.2,0.7,1,0.0967741935483871
"55","Anthony Scott",45935,"HB","E CAROLINA",1,100,1,156,0,13,2,2,0,20,10,2,2018,32,0.0625,518,22,0.0424710424710425,4,3,1,0.0634920634920635
"56","Dontae Strickland",45943,"HB","SYRACUSE",1,100,0,304,0,12,2,2,0,8,4,2,2018,36,0.0555555555555556,416,17,0.0408653846153846,2.8,1.8,2,0.0454545454545455
"57","Jordan Fredericks",45984,"HB","UMASS",1,100,1,216,0,26,2,2,0,30,15,2,2018,35,0.0571428571428571,369,22,0.0596205962059621,5,4,2,0.0625
"58","Josh Hokit",50305,"HB","FRESNO ST",1,100,1,169,0,10,2,2,0,15,7.5,2,2018,34,0.0588235294117647,416,9,0.0216346153846154,3.5,2.5,3,0.037037037037037
"59","Kevin Mensah",55106,"HB","UCONN",1,50,0,146,0,7,1,2,0,7,7,2,2018,16,0.125,314,17,0.054140127388535,1.7,1.2,1,0.0555555555555556
"60","Zavier Scott",55123,"HB","UCONN",1,50,0,146,0,4,1,2,0,4,4,2,2018,16,0.125,314,42,0.133757961783439,1.4,0.9,2,0.166666666666667
