"","opp_team","week","opp_sacks","year","opp_hur","team","L3_sacks","L3_hurries"
"4406","Tulane",3,2,2021,6,"Ole Miss",3.25,1.5
"4407","Tulsa",3,2,2021,1,"Ohio State",2,2
"4408","UAB",3,3,2021,5,"North Texas",0.25,2.5
"4409","UCF",3,1,2021,4,"Louisville",1.75,4
"4410","UCLA",3,3,2021,1,"Fresno State",3.75,3.5
"4411","UMass",3,1,2021,0,"Eastern Michigan",2,0.75
"4412","UNLV",3,0,2021,0,"Iowa State",1.5,0.25
"4413","USC",3,3,2021,1,"Washington State",1,0
"4414","Utah",3,1,2021,4,"San Diego State",1.5,0.25
"4415","Utah State",3,1,2021,0,"Air Force",2,2.5
"4416","UT San Antonio",3,5,2021,10,"Middle Tennessee",1.25,3.5
"4417","Vanderbilt",3,1,2021,1,"Stanford",0.75,2.5
"4418","Virginia",3,1,2021,1,"North Carolina",3.25,2.25
"4419","Virginia Tech",3,2,2021,1,"West Virginia",2.75,4.75
"4420","Wake Forest",3,4,2021,0,"Florida State",2.25,2.5
"4421","Washington",3,3,2021,0,"Arkansas State",1,0.75
"4422","Washington State",3,1,2021,4,"USC",1.5,3.25
"4423","Western Michigan",3,2,2021,5,"Pittsburgh",3.5,1.25
"4424","West Virginia",3,6,2021,3,"Virginia Tech",1,1.25
"4425","Wyoming",3,6,2021,0,"Ball State",2.75,0
"4426","Connecticut",3,0,2021,0,"Army",2.75,1.25
"4427","New Mexico State",3,2,2021,9,"South Carolina State",1.5,2
"4428","Old Dominion",3,3,2021,0,"Liberty",1.25,2
"4429","Air Force",4,1,2021,3,"Florida Atlantic",3,3
"4430","Alabama",4,2,2021,9,"Southern Mississippi",3.25,1.75
"4431","Akron",4,2,2021,1,"Ohio State",1.5,1
"4432","Appalachian State",4,2,2021,2,"Marshall",2.25,6
"4433","Arizona",4,2,2021,0,"Oregon",1.25,0
"4434","Arizona State",4,3,2021,5,"Colorado",3.5,2.5
"4435","Arkansas",4,3,2021,8,"Texas A&M",1.75,2.75
"4436","Arkansas State",4,3,2021,1,"Tulsa",2.5,0.25
"4437","Army",4,2,2021,4,"Miami (OH)",2.5,0.75
"4438","Auburn",4,3,2021,3,"Georgia State",2.5,2.75
"4439","Ball State",4,3,2021,0,"Toledo",2.5,0.5
"4440","Baylor",4,2,2021,1,"Iowa State",1.75,3
"4441","Boise State",4,3,2021,2,"Utah State",2,1
"4442","Boston College",4,0,2021,2,"Missouri",2,1.25
"4443","Bowling Green",4,4,2021,0,"Minnesota",3,2.25
"4444","Buffalo",4,5,2021,4,"Old Dominion",2.25,1.75
"4445","BYU",4,1,2021,2,"South Florida",2.25,0.5
"4446","California",4,1,2021,0,"Washington",1.75,2.75
"4447","Central Michigan",4,4,2021,6,"Florida International",1.5,1.25
"4448","Charlotte",4,1,2021,8,"Middle Tennessee",1.75,3.75
"4449","Clemson",4,3,2021,3,"NC State",2,4
"4450","Coastal Carolina",4,3,2021,3,"UMass",1.75,2.75
"4451","Colorado",4,0,2021,0,"Arizona State",2.5,2.5
"4452","Colorado State",4,3,2021,2,"Iowa",3,3.75
"4453","Duke",4,1,2021,3,"Kansas",1.25,4.5
"4454","East Carolina",4,5,2021,4,"Charleston Southern",1.75,3
"4455","Eastern Michigan",4,4,2021,4,"Texas State",2,1.5
"4456","Florida",4,4,2021,3,"Tennessee",4.25,3.75
"4457","Florida Atlantic",4,0,2021,1,"Air Force",0.75,1.75
"4458","Florida International",4,2,2021,1,"Central Michigan",2,0.75
"4459","Florida State",4,1,2021,6,"Louisville",3.25,3
"4460","Fresno State",4,4,2021,0,"UNLV",4.25,1
"4461","Georgia",4,1,2021,1,"Vanderbilt",4,0.75
"4462","Georgia Southern",4,1,2021,4,"Louisiana",1.75,3.25
"4463","Georgia State",4,2,2021,2,"Auburn",1.25,1.25
"4464","Georgia Tech",4,8,2021,3,"North Carolina",1,2
"4465","Hawai'i",4,4,2021,4,"New Mexico State",2.75,4
"4466","Houston",4,2,2021,4,"Navy",3.5,4
"4467","Illinois",4,3,2021,0,"Purdue",3.75,3.75
"4468","Indiana",4,1,2021,1,"Western Kentucky",2.25,0.75
"4469","Iowa",4,3,2021,3,"Colorado State",2.75,3.5
"4470","Iowa State",4,2,2021,2,"Baylor",3,3.5
"4471","Kansas",4,0,2021,3,"Duke",0.75,0.75
"4472","Kansas State",4,1,2021,8,"Oklahoma State",3.25,1.75
"4473","Kent State",4,1,2021,0,"Maryland",1,1
"4474","Kentucky",4,2,2021,2,"South Carolina",2,5
"4475","Liberty",4,1,2021,2,"Syracuse",3,2.25
"4476","Louisiana",4,4,2021,2,"Georgia Southern",2.5,2.5
"4477","Louisiana Monroe",4,3,2021,3,"Troy",2.25,1.75
"4478","Louisiana Tech",4,2,2021,5,"North Texas",2.5,3
"4479","Louisville",4,6,2021,1,"Florida State",1.25,1.5
"4480","LSU",4,1,2021,1,"Mississippi State",4.5,1
"4481","Marshall",4,1,2021,5,"Appalachian State",4.5,8
"4482","Maryland",4,5,2021,0,"Kent State",2.75,2.25
"4483","Memphis",4,2,2021,5,"UT San Antonio",1.75,3
"4484","Miami",4,3,2021,4,"Central Connecticut",2,1.75
"4485","Miami (OH)",4,0,2021,1,"Army",3.5,1
"4486","Michigan",4,1,2021,2,"Rutgers",1.75,3.25
"4487","Michigan State",4,7,2021,0,"Nebraska",3,4.25
"4488","Middle Tennessee",4,0,2021,8,"Charlotte",2,5.25
"4489","Minnesota",4,4,2021,2,"Bowling Green",1,2
"4490","Mississippi State",4,2,2021,4,"LSU",2,3.25
"4491","Missouri",4,1,2021,4,"Boston College",3.25,1.75
"4492","Navy",4,2,2021,0,"Houston",0.5,4
"4493","NC State",4,2,2021,7,"Clemson",1.25,5.75
"4494","Nebraska",4,3,2021,0,"Michigan State",2,3
