"","year","opp_team","week","L3_def_ppa","L3_def_success_rate","L3_def_explosiveness","L3_def_power_success","L3_def_stuff_rate","L3_def_line_yds","L3_def_second_lvl_yds","L3_def_open_field_yds","L3_def_pts_per_opp","L3def_field_pos_avg_predicted_points","L3_def_standard_downs_rate","L3_def_standard_downs_ppa","L3_def_standard_downs_success_rate","L3_def_standard_downs_explosiveness","L3_def_passing_downs_rate","L3_def_passing_downs_ppa","L3_def_passing_downs_success_rate","L3_def_passing_downs_explosiveness","L3_def_rushing_plays_rate","L3_def_rushing_plays_ppa","L3_def_rushing_plays_success_rate","L3_def_rushing_plays_explosiveness","L3_def_passing_plays_rate","L3_def_passing_plays_ppa","L3_def_passing_plays_success_rate","L3_def_passing_plays_explosiveness"
"109",2017,"UAB",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",2017,"UCF",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",2017,"UCLA",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",2017,"UMass",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",2017,"UNLV",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",2017,"USC",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",2017,"Utah",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",2017,"Utah State",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",2017,"UTEP",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",2017,"Vanderbilt",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",2017,"Virginia",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",2017,"Virginia Tech",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",2017,"Wake Forest",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",2017,"Washington",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",2017,"Washington State",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",2017,"Western Kentucky",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",2017,"Western Michigan",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",2017,"West Virginia",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",2017,"Wisconsin",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",2017,"Wyoming",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",2017,"Akron",2,0.449553645533749,0.546875,1.61132618151047,0.5,0.235294117647059,2.85882352941176,1.5,3.58823529411765,4.5,-1.793,0.765625,0.234598161061158,0.510204081632653,1.34314331169802,0.234375,1.15174156147755,0.666666666666667,2.2817833560416,0.53125,0.351838982688293,0.529411764705882,1.34380576824419,0.453125,0.548282942289637,0.551724137931034,1.95620062175703
"130",2017,"Alabama",2,-0.0324903880675432,0.383333333333333,0.965714714759948,1,0.333333333333333,2.0125,0.541666666666667,0,1.16666666666667,-0.955,0.683333333333333,0.0255975317762948,0.439024390243902,0.938722450979399,0.316666666666667,-0.157838004572667,0.263157894736842,1.06288686436993,0.4,-0.209911236971525,0.333333333333333,0.495874813651341,0.6,0.0857901778684447,0.416666666666667,1.21629599535121
"131",2017,"Appalachian State",2,0.269695001177088,0.4,1.37087411931112,0.8,0.232558139534884,2.55348837209302,1.11627906976744,1.83720930232558,6.2,-1.374,0.661538461538462,0.335568670955278,0.441860465116279,1.44721340460269,0.338461538461538,0.140941919337898,0.318181818181818,1.16366748780545,0.661538461538462,0.249949943885149,0.348837209302326,1.5769101015402,0.323076923076923,0.364509821629351,0.476190476190476,1.28614543437532
