Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
81856-152304,WR,Da'Wain,Da'Wain Lofton,Lofton,5.300000190734863,4,5700,MIA@VT,VT,MIA,,,,,,WR/Super FLEX
81856-119747,RB,Ky,Ky Thomas,Thomas,1.5750000476837158,4,5700,KU@OU,KU,OU,P,Lower body,,,,RB/Super FLEX
81856-86238,TE,Zack,Zack Kuntz,Kuntz,8.100000381469727,4,5600,ODU@CCU,ODU,CCU,,,,,,WR/Super FLEX
81856-156967,WR,Jalil,Jalil Farooq,Farooq,6.819999694824219,5,5600,KU@OU,OU,KU,,,,,,WR/Super FLEX
81856-128805,WR,KeAndre,KeAndre Lambert-Smith,Lambert-Smith,5.474999904632568,4,5600,PSU@MICH,PSU,MICH,P,Leg,,,,WR/Super FLEX
81856-119660,WR,Koy,Koy Moore,Moore,4.279999923706055,5,5600,AUB@MISS,AUB,MISS,,,,,,WR/Super FLEX
81856-155772,RB,Thad,Thad Franklin Jr.,Franklin Jr.,7.849999904632568,4,5500,MIA@VT,MIA,VT,,,,,,RB/Super FLEX
81856-129254,QB,Hudson,Hudson Card,Card,12.903999328613281,5,5500,ISU@TEX,TEX,ISU,,,,,,QB/Super FLEX
81856-91417,TE,Luke,Luke Schoonmaker,Schoonmaker,7.733333587646484,6,5500,PSU@MICH,MICH,PSU,,,,,,WR/Super FLEX
81856-137522,RB,Keyvone,Keyvone Lee,Lee,4.150000095367432,4,5500,PSU@MICH,PSU,MICH,,,,,,RB/Super FLEX
81856-174596,QB,General,General Booty,Booty,,,5500,KU@OU,OU,KU,,,,,,QB/Super FLEX
81856-129563,WR,Michael,Michael Redding III,Redding III,5.300000190734863,4,5500,MIA@VT,MIA,VT,,,,,,WR/Super FLEX
81856-86630,WR,Jaylon,Jaylon Robinson,Robinson,1.2000000476837158,2,5500,AUB@MISS,MISS,AUB,P,Undisclosed,,,,WR/Super FLEX
81856-87890,WR,Dimitri,Dimitri Stanley,Stanley,7.175000190734863,4,5500,ISU@TEX,ISU,TEX,,,,,,WR/Super FLEX
81856-94089,WR,Brian,Brian Hightower,Hightower,7.5,5,5500,MINN@ILL,ILL,MINN,,,,,,WR/Super FLEX
81856-136611,WR,Tyson,Tyson Mobley,Mobley,5.040000152587891,5,5400,ODU@CCU,CCU,ODU,,,,,,WR/Super FLEX
