"","player","player_id","position","team_name","player_game_count","attempts","completion_percent","completions","first_downs","franchise_id","interceptions","qb_rating","sacks","touchdowns","yards","ypa","week","year","dk_pts","fd_pts","string","team","head_coach","L3_attempts","L3_completion_percent","L3_completions","L3_first_downs","L3_interceptions","L3_qb_rating","L3_sacks","L3_touchdowns","L3_yards","L3_ypa","L3_dk_pts","L3_fd_pts"
"8617","Dylan Hopkins",83571,"QB","UAB",1,13,61.5,8,7,321,0,126.1,0,1,147,11.3,7,2021,9.88,9.88,1,"UAB","Bill Clark",21,64.125,12.5,8.25,0.5,107.675,2.5,2,190.5,12.65,15.12,15.12
"8618","Tyler Johnston III",60570,"QB","UAB",1,7,42.9,3,2,321,0,50.3,1,0,18,2.6,7,2021,0.72,0.72,2,"UAB","Bill Clark",14.75,47.65,8.25,6,0.75,85.375,0.5,1,151.75,8.85,10.07,9.32
"8619","Mikey Keene",70961,"QB","UCF",1,27,59.3,16,5,323,2,54.4,1,1,139,5.1,7,2021,7.56,7.56,1,"UCF","Gus Malzahn",22.6666666666667,61.4333333333333,14.3333333333333,5.66666666666667,0.666666666666667,93.7333333333333,0.666666666666667,1,141.666666666667,6.73333333333333,9,9
"8620","Dorian Thompson-Robinson",83574,"QB","UCLA",1,27,77.8,21,9,324,0,119.6,0,2,183,6.8,7,2021,15.32,15.32,1,"UCLA","Chip Kelly",25.5,57.25,15,12,0.25,100.525,2.75,1.75,206.75,7.95,15.02,15.02
"8621","Steven Krajewski",77650,"QB","UCONN",1,31,64.5,20,8,146,0,104.1,3,2,199,6.4,7,2021,15.96,15.96,1,"Connecticut","Randy Edsall",29.5,52.8,15.5,8,2,60.1,1.5,1.5,196,6.4,11.84,11.84
"8622","Steven Krajewski",77650,"QB","UCONN",1,31,64.5,20,8,146,0,104.1,3,2,199,6.4,7,2021,15.96,15.96,1,"Connecticut","Lou Spanos",28.5,56.075,16,7.25,1.5,68.225,2,1.5,179.75,6.125,11.69,11.69
"8623","Cameron Friel",146195,"QB","UNLV",1,21,52.4,11,3,325,1,47.1,0,0,107,5.1,7,2021,3.28,3.28,1,"UNLV","Marcus Arroyo",21.6666666666667,63.0333333333333,14,6.66666666666667,1,70.8666666666667,4,0.333333333333333,170.666666666667,7.56666666666667,8.16,7.16
"8624","Justin Rogers",77666,"QB","UNLV",1,3,33.3,1,0,325,1,2.8,1,0,4,1.3,7,2021,-0.84,-0.84,2,"UNLV","Marcus Arroyo",8.75,62.575,5.25,2.25,0,91.175,2.75,0.5,50.25,5.375,4.01,4.01
"8625","Timmy McClain",144488,"QB","USF",1,25,40,10,7,327,0,60.1,5,0,148,5.9,7,2021,5.92,5.92,1,"South Florida","Jeff Scott",19.75,56.65,11.75,8.75,0,87.575,1.5,0.25,163.75,8.325,7.55,7.55
"8626","Kenny Scribner",100973,"P","USF",1,1,100,1,0,327,0,95.8,0,0,7,7,7,2021,0.28,0.28,2,"South Florida","Jeff Scott",1,0,0,0,0,39.6,0,0,0,0,0,0
"8627","Cameron Rising",77663,"QB","UTAH",1,33,63.6,21,19,328,2,81.3,0,2,247,7.5,7,2021,15.88,15.88,1,"Utah","Kyle Whittingham",21.25,73.625,14,8.75,0,120.725,0.75,1.75,156.25,9.05,14,13.25
"8628","Logan Bonner",39990,"QB","UTAH ST",1,33,66.7,22,16,329,1,105,2,2,315,9.5,7,2021,22.6,19.6,1,"Utah State","Blake Anderson",33.5,46.75,16,11,1.5,55.95,1.5,1,224.5,6.7,11.48,11.48
"8629","Logan Bonner",39990,"QB","UTAH ST",1,33,66.7,22,16,329,1,105,2,2,315,9.5,7,2021,22.6,19.6,1,"Utah State","Blake Anderson",35.25,52.85,18.75,13.5,1.25,73.95,1.75,1.5,260,7.4,15.9,15.15
"8630","Gavin Hardison",100827,"QB","UTEP",1,28,64.3,18,12,330,1,82.9,1,0,283,10.1,7,2021,10.32,10.32,1,"UTEP","Dana Dimel",22.75,50.925,11.75,8,1.25,77.2,1,1,208.5,9.05,11.09,11.09
"8631","Frank Harris",60586,"QB","UTSA",1,19,63.2,12,8,331,0,116.6,0,2,122,6.4,7,2021,12.88,12.88,1,"UT San Antonio","Jeff Traylor",34.25,69.475,23.75,13.25,0.75,106.425,1,2.75,270,7.85,21.8,21.05
"8632","Josh Adkins",60483,"QB","UTSA",1,5,40,2,2,331,0,49.6,1,0,17,3.4,7,2021,0.68,0.68,2,"UT San Antonio","Jeff Traylor",5.5,81.15,4.25,2.25,0,108.675,0.25,0.5,55.25,12.475,4.21,4.21
"8633","Braxton Burmeister",60513,"QB","VA TECH",1,32,34.4,11,8,337,1,45.6,3,1,134,4.2,7,2021,8.36,8.36,1,"Virginia Tech","Justin Fuente",28.5,56.5,16,13,0.5,77.5,1.5,0.5,198,7,9.42,9.42
"8634","Braxton Burmeister",60513,"QB","VA TECH",1,32,34.4,11,8,337,1,45.6,3,1,134,4.2,7,2021,8.36,8.36,1,"Virginia Tech","J.C. Price",29.75,49.35,14.5,11.75,0.75,64,1.75,0.5,178.5,6.075,8.39,8.39
"8635","Mike Wright",124366,"QB","VANDERBILT",1,21,52.4,11,8,333,1,82.6,2,1,206,9.8,7,2021,11.24,11.24,1,"Vanderbilt","Clark Lea",5.75,61.1,2.75,2.25,0.25,70.625,0.5,0.25,23.75,5.05,1.7,1.7
"8636","Brennan Armstrong",77696,"QB","VIRGINIA",1,46,54.3,25,22,335,0,94.7,4,2,363,7.9,7,2021,25.52,22.52,1,"Virginia","Bronco Mendenhall",54.25,62.45,34,21.75,1.25,92,4.5,2.5,424.75,7.775,27.99,25.74
"8637","Bailey Zappe",60396,"QB","W KENTUCKY",1,53,66,35,18,346,1,111.5,0,5,392,7.4,7,2021,37.68,34.68,1,"Western Kentucky","Tyson Helton",52.5,68.6,36,21.75,0.5,114.075,1.75,3.5,452,8.775,34.58,31.58
"8638","Kaleb Eleby",77686,"QB","W MICHIGAN",1,22,68.2,15,14,347,0,150.6,0,3,307,14,7,2021,27.28,24.28,1,"Western Michigan","Tim Lester",31.75,62.225,19.75,14,0.5,101.35,3.75,1.75,268,8.4,17.97,17.22
"8639","Jayden de Laura",131928,"QB","WASH STATE",1,31,54.8,17,12,341,0,118.9,0,3,289,9.3,7,2021,23.56,23.56,1,"Washington State","Jake Dickert",43.5,65.3,28.5,16,1.5,93.75,1.5,3,306,6.95,24.24,22.74
"8640","Jayden de Laura",131928,"QB","WASH STATE",1,31,54.8,17,12,341,0,118.9,0,3,289,9.3,7,2021,23.56,23.56,1,"Washington State","Nick Rolovich",41,63.75,26.5,15.25,1,103.825,1,3,325,7.975,25.5,24
"8641","Dylan Morris",100570,"QB","WASHINGTON",1,30,66.7,20,9,340,2,66.5,2,1,184,6.1,7,2021,9.36,9.36,1,"Washington","Bob Gregory",29,62.4,18,8.5,0.5,89.5,2,1.5,188,6.4,13.02,13.02
"8642","Dylan Morris",100570,"QB","WASHINGTON",1,30,66.7,20,9,340,2,66.5,2,1,184,6.1,7,2021,9.36,9.36,1,"Washington","Jimmy Lake",28.5,64.225,18.25,7.5,1,80.4,2.25,1.25,175.5,6.1,11.02,11.02
"8643","Graham Mertz",97994,"QB","WISCONSIN",1,15,53.3,8,8,349,0,77.6,1,0,112,7.5,7,2021,4.48,4.48,1,"Wisconsin","Paul Chryst",23,58.05,12.5,7.25,1.25,69.85,1.25,0.5,149,6.8,6.71,6.71
"8644","Sean Chambers",75888,"QB","WYOMING",1,23,34.8,8,8,351,3,11.6,3,0,111,4.8,7,2021,1.44,1.44,1,"Wyoming","Craig Bohl",25.25,53.25,13.25,9.5,0.5,84.825,1.25,1.25,174.25,7.05,11.47,11.47
"8645","Levi Williams",98365,"QB","WYOMING",1,7,14.3,1,1,351,1,6.5,0,0,32,4.6,7,2021,0.28,0.28,2,"Wyoming","Craig Bohl",13.75,40.75,5.75,3.5,0.25,52.5,1.5,0,79,5.7,2.91,2.91
"8646","Haaziq Daniels",125263,"QB","AIR FORCE",1,8,25,2,0,101,1,0,0,0,9,1.1,8,2021,-0.64,-0.64,1,"Air Force","Troy Calhoun",5.25,57.5,2.75,2.5,0,105.55,0.5,0.25,68,17.45,3.72,3.72
"8647","Warren Bryan",101291,"QB","AIR FORCE",1,7,42.9,3,4,101,0,111.9,1,1,58,8.3,8,2021,6.32,6.32,2,"Air Force","Troy Calhoun",6,50,3,2,0,70.1,0,0,38,6.3,1.52,1.52
"8648","DJ Irons",145585,"QB","AKRON",1,14,35.7,5,9,102,1,22.9,10,0,70,5,8,2021,1.8,1.8,1,"Akron","Tom Arth",23,65.35,14,9,1,95.05,6.5,1.5,144.5,7.1,10.78,10.78
"8649","DJ Irons",145585,"QB","AKRON",1,14,35.7,5,9,102,1,22.9,10,0,70,5,8,2021,1.8,1.8,1,"Akron","Oscar Rodriguez",19.25,62.2,11.75,9.25,0.75,90.375,7.25,1.25,133.25,7.35,9.58,9.58
"8650","Zach Gibson",100201,"QB","AKRON",1,6,33.3,2,1,102,0,42.4,1,0,9,1.5,8,2021,0.36,0.36,2,"Akron","Tom Arth",27,78.7,19.5,12,0,133.8,2,3,234,9.65,21.36,21.36
"8651","Zach Gibson",100201,"QB","AKRON",1,6,33.3,2,1,102,0,42.4,1,0,9,1.5,8,2021,0.36,0.36,2,"Akron","Oscar Rodriguez",24.75,63.7,16.5,9.75,0,105.55,2,2.25,192,7.075,16.68,16.68
"8652","Bryce Young",123943,"QB","ALABAMA",1,43,72.1,31,24,103,0,113.4,2,2,369,8.6,8,2021,25.76,22.76,1,"Alabama","Nick Saban",31.25,73.4,22,14.25,0.75,125.625,2.75,3.5,317.5,10.75,28.2,25.95
"8653","Chase Brice",60363,"QB","APP STATE",1,28,64.3,18,13,108,0,131.1,0,2,347,12.4,8,2021,24.88,21.88,1,"Appalachian State","Shawn Clark",29.75,66.9,19.75,12.25,0.75,98.125,1,1.25,259.25,8.85,15.37,14.62
"8654","Will Plummer",131592,"QB","ARIZONA",1,20,65,13,4,109,2,29.6,2,0,62,3.1,8,2021,0.48,0.48,1,"Arizona","Jedd Fisch",18,53.025,9.25,4,0.75,61.325,0.75,0.5,95.25,4.775,5.06,5.06
"8655","Jamarye Joiner",82071,"WR","ARIZONA",1,1,0,0,0,109,0,39.6,0,0,0,0,8,2021,0,0,2,"Arizona","Jedd Fisch",2,58.3333333333333,1.33333333333333,0.666666666666667,0,89.9333333333333,0.666666666666667,0.333333333333333,9,4.76666666666667,1.69333333333333,1.69333333333333
"8656","Layne Hatcher",82068,"QB","ARK STATE",1,31,51.6,16,12,113,0,117.4,4,3,298,9.6,8,2021,23.92,23.92,1,"Arkansas State","Butch Jones",24.25,51.35,12.75,8.25,0.75,70.375,1.25,1.25,166.75,6.55,10.92,10.92
"8657","KJ Jefferson",99129,"QB","ARKANSAS",1,17,58.8,10,9,111,0,138.2,1,4,194,11.4,8,2021,23.76,23.76,1,"Arkansas","Sam Pittman",24.25,58.95,15,10.25,0.25,104.775,2.25,1.75,206.75,8.925,15.77,15.02
"8658","Malik Hornsby",123957,"QB","ARKANSAS",1,5,20,1,1,111,0,42.9,1,0,19,3.8,8,2021,0.76,0.76,2,"Arkansas","Sam Pittman",2.33333333333333,66.6666666666667,1.33333333333333,0.666666666666667,0,69.9333333333333,1.33333333333333,0,9,2.53333333333333,0.36,0.36
"8659","Jabari Laws",82085,"QB","ARMY",1,11,81.8,9,4,114,0,158.3,1,3,140,12.7,8,2021,17.6,17.6,1,"Army","Jeff Monken",6.25,79.575,4.75,3,0,118.525,0.25,0.25,95,14.35,4.8,4.8
"8660","Cade Ballard",102861,"QB","ARMY",1,1,0,0,0,114,1,0,0,0,0,0,8,2021,-1,-1,2,"Army","Jeff Monken",2,66.65,1,1,0,120.1,1,0.5,53,35.35,4.12,4.12
"8661","Christian Anderson",60339,"QB","ARMY",1,1,100,1,1,114,0,118.8,0,0,39,39,8,2021,1.56,1.56,3,"Army","Jeff Monken",3.5,57.5,1.75,1.5,0,122.9,0.25,0.75,45.5,17.35,4.82,4.82
"8662","Drew Plitt",39879,"QB","BALL ST",1,34,64.7,22,11,117,1,91.2,2,2,227,6.7,8,2021,16.08,16.08,1,"Ball State","Mike Neu",31,64.025,20,12.75,0,106.925,2.25,1.75,235,7.975,17.15,16.4
"8663","Dennis Grosel",60351,"QB","BOSTON COL",1,32,53.1,17,9,121,2,49.1,4,1,141,4.4,8,2021,7.64,7.64,1,"Boston College","Jeff Hafley",30.75,55.025,17.25,9,1.25,66.625,2.25,1,184.75,5.675,10.89,10.14
"8664","Matt McDonald",60350,"QB","BOWL GREEN",1,36,58.3,21,12,122,1,64.9,1,0,223,6.2,8,2021,7.92,7.92,1,"Bowling Green","Scot Loeffler",39,54.425,21.25,10.75,1.25,66.575,3.75,1,230.5,5.925,11.97,11.97
"8665","Kyle Vantrease",55029,"QB","BUFFALO",1,20,75,15,12,126,0,154.4,0,3,241,12.1,8,2021,21.64,21.64,1,"Buffalo","Maurice Linguist",30.75,61.05,18.75,11.5,0.75,84.8,1,1,211.25,7.1,11.7,11.7
"8666","Matt Myers",77698,"QB","BUFFALO",1,2,100,2,1,126,0,91.7,0,0,12,6,8,2021,0.48,0.48,2,"Buffalo","Maurice Linguist",5.5,39.575,1.75,1.5,0.5,64.625,0.25,0.5,24,4.475,2.46,2.46
"8667","Jaren Hall",82094,"QB","BYU",1,20,75,15,9,128,0,94.4,2,0,143,7.2,8,2021,5.72,5.72,1,"BYU","Kalani Sitake",31.25,61.525,19.25,11,0.75,95.65,2,1.75,251.75,8.025,17.82,16.32
"8668","Neil Pau'u",52010,"WR","BYU",1,1,100,1,0,128,0,83.3,0,0,4,4,8,2021,0.16,0.16,2,"BYU","Kalani Sitake",1,100,1,0.75,0,115.15,0,0,13.5,13.5,0.54,0.54
"8669","Daniel Richardson",97103,"QB","C MICHIGAN",1,40,60,24,14,134,0,108.5,0,3,302,7.6,8,2021,27.08,24.08,1,"Central Michigan","Jim McElwain",32.5,58.825,18.75,12.75,0.5,101.275,1.25,2,267,8.6,18.93,18.18
"8670","Kalil Pimpleton",61799,"WR","C MICHIGAN",1,1,100,1,0,134,0,83.3,0,0,4,4,8,2021,0.16,0.16,2,"Central Michigan","Jim McElwain",2,40,1,1,0,85.45,0,0.25,23,10.2,1.92,1.92
"8671","Lew Nichols III",97187,"HB","C MICHIGAN",1,1,100,1,1,134,0,87.5,0,0,5,5,8,2021,0.2,0.2,3,"Central Michigan","Jim McElwain",1,100,1,1,0,118.8,0,0,23,23,0.92,0.92
"8672","Chase Garbers",60356,"QB","CAL",1,30,73.3,22,14,130,0,116.7,1,2,225,7.5,8,2021,17,17,1,"California","Justin Wilcox",37.75,59.6,22.75,13.25,1,80.575,2.25,1.5,251.5,6.675,15.81,15.06
"8673","Chris Reynolds",60361,"QB","CHARLOTTE",1,31,71,22,12,136,2,74.5,2,1,219,7.1,8,2021,10.76,10.76,1,"Charlotte","Will Healy",28.75,67.075,19.25,12,0.25,114.4,1.75,2.75,222,7.65,20.38,19.63
"8674","James Foster",83563,"QB","CHARLOTTE",1,11,45.5,5,2,136,0,60.8,1,0,55,5,8,2021,2.2,2.2,2,"Charlotte","Will Healy",8,62.5,5,2,0,88,1,0,65,8.1,2.6,2.6
"8675","Desmond Ridder",55086,"QB","CINCINNATI",1,30,60,18,8,138,1,84.9,1,2,176,5.9,8,2021,14.04,14.04,1,"Cincinnati","Luke Fickell",30.25,61.2,18.5,9.75,0.25,100.675,1.5,1.75,226,7.45,15.79,15.79
"8676","DJ Uiagalelei",122162,"QB","CLEMSON",1,25,48,12,9,140,2,30.1,1,0,128,5.1,8,2021,3.12,3.12,1,"Clemson","Dabo Swinney",28.5,56.15,16,7.75,0.25,76.45,1.25,0.75,156.25,5.475,9,9
"8677","Taisun Phommachanh",99577,"QB","CLEMSON",1,7,42.9,3,2,140,0,51.5,0,0,23,3.3,8,2021,0.92,0.92,2,"Clemson","Dabo Swinney",5.75,29.65,2.5,1,0.25,51.05,0.25,0.25,20.75,2.15,1.58,1.58
"8678","Grayson McCall",98002,"QB","COAST CAR",1,23,65.2,15,12,141,0,123,3,1,291,12.7,8,2021,15.64,15.64,1,"Coastal Carolina","Jamey Chadwell",17.25,79.525,13.5,10.75,0.25,148.4,1,2.75,242.75,14,21.21,20.46
"8679","Todd Centeio",60552,"QB","COLO STATE",1,30,60,18,17,144,1,88.5,1,1,282,9.4,8,2021,14.28,14.28,1,"Colorado State","Steve Addazio",26.5,59.525,15.5,10.5,0,91.975,2.25,0.75,196.5,7.625,10.86,10.86
"8680","Brendon Lewis",131687,"QB","COLORADO",1,17,52.9,9,2,143,1,38.6,6,0,69,4.1,8,2021,1.76,1.76,1,"Colorado","Karl Dorrell",17.25,53.3,9.25,5.5,0.25,84.675,3.5,0.75,133,7.475,8.07,8.07
"8681","Drew Carter",146312,"QB","COLORADO",1,1,0,0,0,143,0,39.6,0,0,0,0,8,2021,0,0,2,"Colorado","Karl Dorrell",8,50,4,1,0,57.8,0,0,27,3.4,1.08,1.08
"8682","Holton Ahlers",77651,"QB","E CAROLINA",1,37,62.2,23,10,156,0,103.2,4,2,278,7.5,8,2021,19.12,19.12,1,"East Carolina","Mike Houston",34.75,63.675,22,12.25,0.75,92.2,3,1.5,278.5,8.15,17.14,16.39
"8683","Ben Bryant",77655,"QB","E MICHIGAN",1,26,76.9,20,16,160,0,137.7,1,2,286,11,8,2021,19.44,19.44,1,"Eastern Michigan","Chris Creighton",38.25,67.375,26,14.75,1,93.825,4.5,1.75,274.5,7.15,18.48,16.98
"8684","Preston Hutchinson",60370,"QB","E MICHIGAN",1,4,75,3,2,160,0,126,0,1,21,5.3,8,2021,4.84,4.84,2,"Eastern Michigan","Chris Creighton",14,59.95,8.75,4.75,0.5,66.775,1,0.5,92.75,6.325,5.21,5.21
"8685","N'Kosi Perry",60446,"QB","FAU",1,11,81.8,9,9,165,0,158.3,1,3,225,20.5,8,2021,21,21,1,"Florida Atlantic","Willie Taggart",30.5,61.45,18,9.25,1,86.55,1.25,1.5,218.75,8.05,14.5,13.75
"8686","Max Bortenschlager",46500,"QB","FIU",1,32,46.9,15,8,166,0,75.9,8,1,187,5.8,8,2021,11.48,11.48,1,"Florida International","Butch Davis",30.75,50.8,15.75,10.75,1,97.8,3.5,2.5,327.25,10.55,23.59,22.09
"8687","Grayson James",145214,"QB","FIU",1,7,85.7,6,3,166,0,100.6,0,0,57,8.1,8,2021,2.28,2.28,2,"Florida International","Butch Davis",5.33333333333333,52.7666666666667,3,1.66666666666667,0,63.6666666666667,0.333333333333333,0,24,4.23333333333333,0.96,0.96
"8688","Jordan Travis",77615,"QB","FLORIDA ST",1,10,50,5,6,167,0,95,1,0,123,12.3,8,2021,4.92,4.92,1,"Florida State","Mike Norvell",13.5,59.175,9.5,6.25,0.5,98.825,1.25,1.75,95.75,8.275,10.33,10.33
"8689","Chubba Purdy",122412,"QB","FLORIDA ST",1,5,100,5,5,167,0,158.3,0,2,98,19.6,8,2021,11.92,11.92,2,"Florida State","Mike Norvell",17.6666666666667,40.7666666666667,9,3.66666666666667,0.333333333333333,66.7333333333333,1.33333333333333,0.666666666666667,73,3.23333333333333,5.25333333333333,5.25333333333333
"8690","Jake Haener",60596,"QB","FRESNO ST",1,38,68.4,26,16,169,0,105.8,2,2,266,7,8,2021,18.64,18.64,1,"Fresno State","Kalen DeBoer",39,54.8,21.5,14.5,2,76.05,1.5,2.5,240,5.55,19.1,17.6
"8691","Jake Haener",60596,"QB","FRESNO ST",1,38,68.4,26,16,169,0,105.8,2,2,266,7,8,2021,18.64,18.64,1,"Fresno State","Lee Marks",36,57.9,21,13.5,1,85.6,1.5,2.25,210,5.375,17.15,16.4
"8692","Darren Grainger",78496,"QB","GA STATE",1,25,64,16,9,175,0,115.4,0,2,200,8,8,2021,16,16,1,"Georgia State","Shawn Elliott",17,58.725,10,7,0.75,104.2,1.75,2.25,140.25,9.325,13.86,13.86
"8693","Jeff Sims",122496,"QB","GA TECH",1,44,61.4,27,15,176,1,94.9,1,3,300,6.8,8,2021,26,23,1,"Georgia Tech","Geoff Collins",19.75,58.775,12.25,7.75,1,93.575,1.25,1.5,197.25,8.5,13.64,12.89
"8694","Brayden Schager",146078,"QB","HAWAII",1,29,86.2,25,13,180,0,97.6,1,0,215,7.4,8,2021,8.6,8.6,1,"Hawai'i","Todd Graham",32.5,49.3,16.5,8,2,55.9,2.5,1,160.5,4.85,8.42,8.42
"8695","Clayton Tune",77652,"QB","HOUSTON",1,29,65.5,19,12,182,0,104,5,2,169,5.8,8,2021,14.76,14.76,1,"Houston","Dana Holgorsen",24.5,65.7,16.5,10.5,0.5,95.825,1.5,1.5,212,8.8,13.98,13.98
"8696","Artur Sitkowski",83547,"QB","ILLINOIS",1,19,42.1,8,3,187,1,27.7,4,0,38,2,8,2021,0.52,0.52,1,"Illinois","Bret Bielema",38.3333333333333,44.7,18,10.3333333333333,0.333333333333333,66.1666666666667,1,1.33333333333333,180.666666666667,4.36666666666667,12.2266666666667,12.2266666666667
"8697","Casey Washington",101710,"WR","ILLINOIS",1,2,0,0,0,187,0,39.6,0,0,0,0,8,2021,0,0,2,"Illinois","Bret Bielema",1,0,0,0,0,39.6,0,0,0,0,0,0
"8698","Jack Tuttle",83580,"QB","INDIANA",1,7,57.1,4,4,190,0,113.7,3,1,41,5.9,8,2021,5.64,5.64,1,"Indiana","Tom Allen",17.5,38.45,9,3.75,0.75,64.1,1,0.25,87.75,8.175,3.76,3.76
"8699","Donaven McCulley",144829,"QB","INDIANA",1,6,16.7,1,1,190,0,47.9,3,0,30,5,8,2021,1.2,1.2,2,"Indiana","Tom Allen",1,100,1,0,0,79.2,0,0,1,1,0.04,0.04
"8700","Brock Purdy",77672,"QB","IOWA STATE",1,33,81.8,27,14,193,0,125.6,2,2,307,9.3,8,2021,23.28,20.28,1,"Iowa State","Matt Campbell",26,79.875,20.5,14.25,0.25,128.25,1.25,2.25,253.25,9.9,18.88,18.88
"8701","Jason Bean",83529,"QB","KANSAS",1,23,73.9,17,15,198,0,122.7,1,1,246,10.7,8,2021,13.84,13.84,1,"Kansas","Lance Leipold",22.5,52.225,12,7.5,1,63.25,0.75,0.75,145,5.825,8.55,7.8
"8702","Skylar Thompson",60417,"QB","KANSAS ST",1,30,80,24,12,199,0,120.3,2,1,306,10.2,8,2021,19.24,16.24,1,"Kansas State","Chris Klieman",20.75,68.125,14,9.5,0.75,91.025,1.5,1.25,191.5,12.675,12.66,11.91
"8703","Dustin Crum",60418,"QB","KENT STATE",1,31,83.9,26,15,201,0,112,1,1,257,8.3,8,2021,14.28,14.28,1,"Kent State","Sean Lewis",30.75,57.5,17.75,11.25,0,100.85,3.25,1.5,265.25,8.4,18.11,16.61
"8704","Levi Lewis",60428,"QB","LA LAFAYET",1,20,55,11,7,207,1,52.5,2,0,122,6.1,8,2021,3.88,3.88,1,"Louisiana","Michael Desormeaux",22,56.3,12.5,7,0.5,71,1,0.5,129,5.5,6.66,6.66
"8705","Levi Lewis",60428,"QB","LA LAFAYET",1,20,55,11,7,207,1,52.5,2,0,122,6.1,8,2021,3.88,3.88,1,"Louisiana","Billy Napier",22.25,56.9,12.75,8,0.75,69.525,1.25,0.5,147.25,6.375,7.14,7.14
"8706","Chandler Rogers",98683,"QB","LA MONROE",1,35,71.4,25,15,209,0,142.8,2,4,362,10.3,8,2021,33.48,30.48,1,"Louisiana Monroe","Terry Bowden",17,53.85,10.25,6.75,0.5,88.375,2.75,1,142.5,9.05,9.2,9.2
"8707","Austin Kendall",40056,"QB","LA TECH",1,34,67.6,23,13,208,1,100,6,2,279,8.2,8,2021,18.16,18.16,1,"Louisiana Tech","Skip Holtz",34.5,60.85,21,14.75,1.75,81.05,2.5,2,269.75,7.675,18.54,17.04
"8708","Aaron Allen",78494,"QB","LA TECH",1,4,75,3,2,208,1,77.1,0,0,60,15,8,2021,1.4,1.4,2,"Louisiana Tech","Skip Holtz",11,54.875,6.25,2.5,0.75,56.725,1,0,44.25,2.075,1.02,1.02
"8709","Malik Willis",60341,"QB","LIBERTY",1,18,66.7,12,10,206,0,147.5,6,3,217,12.1,8,2021,20.68,20.68,1,"Liberty","Hugh Freeze",24,65.25,15.25,11.75,1.5,96.275,3.5,1.75,212.75,9.625,14.01,14.01
"8710","Johnathan Bennett",104158,"QB","LIBERTY",1,18,38.9,7,3,206,0,73.4,0,1,88,4.9,8,2021,7.52,7.52,2,"Liberty","Hugh Freeze",2.5,66.675,1.75,1.75,0,106.6,0,0.5,36.75,10,3.47,3.47
"8711","Malik Cunningham",60436,"QB","LOUISVILLE",1,17,52.9,9,10,210,2,32.8,0,0,107,6.3,8,2021,2.28,2.28,1,"Louisville","Scott Satterfield",32.5,65.175,21,13.5,0.25,107.1,1.25,1.5,279.5,9.025,17.68,16.93
"8712","Max Johnson",124099,"QB","LSU",1,21,61.9,13,8,211,1,62.8,4,0,146,7,8,2021,4.84,4.84,1,"LSU","Brad Davis",31.5,57.35,18,10.5,0,99.45,2,2,197,6.1,15.88,15.88
"8713","Max Johnson",124099,"QB","LSU",1,21,61.9,13,8,211,1,62.8,4,0,146,7,8,2021,4.84,4.84,1,"LSU","Ed Orgeron",27,58.725,15.75,9.75,0.25,93.775,2.25,1.75,168.25,6.175,13.48,13.48
"8714","Garrett Nussmeier",146757,"QB","LSU",1,12,58.3,7,5,211,0,114.2,1,1,103,8.6,8,2021,8.12,8.12,2,"LSU","Brad Davis",7,27.5,2,0.5,0,47.95,1,0,23.5,4.45,0.94,0.94
"8715","Garrett Nussmeier",146757,"QB","LSU",1,12,58.3,7,5,211,0,114.2,1,1,103,8.6,8,2021,8.12,8.12,2,"LSU","Ed Orgeron",7.5,34.575,3,1.75,0,66.6,1,0.25,44.5,6.125,2.78,2.78
"8716","Taulia Tagovailoa",97271,"QB","MARYLAND",1,27,63,17,6,215,0,96.1,3,1,189,7,8,2021,11.56,11.56,1,"Maryland","Mike Locksley",38,69.25,26.75,13.25,2,91.375,2.25,2,292.5,7.525,19.2,17.7
"8717","Tyler Van Dyke",122225,"QB","MIAMI FL",1,33,75.8,25,14,220,0,145.8,4,4,325,9.8,8,2021,32,29,1,"Miami","Manny Diaz",37,48.05,17.5,12.5,1.5,64.5,3.5,1,233.5,6.45,11.84,11.84
"8718","Tyler Van Dyke",122225,"QB","MIAMI FL",1,33,75.8,25,14,220,0,145.8,4,4,325,9.8,8,2021,32,29,1,"Miami","Jess Simpson",38,54.075,20,14,1.5,79.5,3.5,1.75,264,7.15,16.81,16.06
"8719","Brett Gabbert",97404,"QB","MIAMI OH",1,24,83.3,20,11,221,0,130.4,1,2,207,8.6,8,2021,16.28,16.28,1,"Miami (OH)","Chuck Martin",22.5,53.7,11.75,9.25,0.5,99.3,1.25,1.75,183.5,8.475,13.84,13.84
"8720","Jalen Walker",61429,"WR","MIAMI OH",1,1,100,1,1,221,0,118.8,0,0,27,27,8,2021,1.08,1.08,2,"Miami (OH)","Chuck Martin",1,0,0,0,0,39.6,0,0,0,0,0,0
"8721","Cade McNamara",101620,"QB","MICHIGAN",1,27,74.1,20,9,222,0,83.6,1,0,128,4.7,8,2021,5.12,5.12,1,"Michigan","Jim Harbaugh",23.5,61.375,14,8.25,0.25,101.5,0.25,0.75,201.5,10.275,10.81,10.81
"8722","J.J. McCarthy",144918,"QB","MICHIGAN",1,5,60,3,1,222,0,80.4,0,0,34,6.8,8,2021,1.36,1.36,2,"Michigan","Jim Harbaugh",3.5,58.35,2.25,1.25,0,108.5,0.25,0.5,44.5,19.075,3.78,3.78
