"","player","player_id","position","team_name","player_game_count","attempts","completion_percent","completions","first_downs","franchise_id","interceptions","qb_rating","sacks","touchdowns","yards","ypa","week","year","dk_pts","fd_pts","string","team","head_coach","L3_attempts","L3_completion_percent","L3_completions","L3_first_downs","L3_interceptions","L3_qb_rating","L3_sacks","L3_touchdowns","L3_yards","L3_ypa","L3_dk_pts","L3_fd_pts"
"128","Will Grier",38265,"QB","W VIRGINIA",1,37,70.3,26,16,343,0,142.5,1,5,375,10.1,8,2017,38,35,1,"West Virginia","Dana Holgorsen",41,78,32,16,1,131.9,4,5,352,8.6,36.08,33.08
"129","Luke Falk",46586,"QB","WASH STATE",1,34,50,17,14,341,0,97.3,2,3,197,5.8,8,2017,19.88,19.88,1,"Washington State","Mike Leach",43,65.1,28,11,5,44.5,9,0,286,6.7,6.44,6.44
"130","Tyler Hilinski",34047,"QB","WASH STATE",1,9,33.3,3,0,341,0,42.4,0,0,15,1.7,8,2017,0.6,0.6,2,"Washington State","Mike Leach",5,80,4,2,0,90,0,0,28,5.6,1.12,1.12
"131","Alex Hornibrook",34842,"QB","WISCONSIN",1,24,66.7,16,12,349,1,107.1,0,2,225,9.4,8,2017,16,16,1,"Wisconsin","Paul Chryst",18,72.2,13,11,2,87.3,1,1,199,11.1,9.96,9.96
"132","Josh Allen",46601,"QB","WYOMING",1,27,44.4,12,8,351,2,40.8,4,1,131,4.9,8,2017,7.24,7.24,1,"Wyoming","Craig Bohl",26,69.2,18,8,1,89.9,4,1,208,8,11.32,11.32
"133","Arion Worthman",25439,"QB","AIR FORCE",1,4,50,2,1,101,1,95.8,0,1,64,16,9,2017,5.56,5.56,1,"Air Force","Troy Calhoun",7.5,53.55,4,3,0.5,57.9,1,0,56.5,7.45,1.76,1.76
"134","Thomas Woodson",26372,"QB","AKRON",1,29,72.4,21,13,102,1,123.6,1,3,286,9.9,9,2017,22.44,22.44,1,"Akron","Terry Bowden",28.5,54.35,15.5,10.5,1,73.1,1.5,1.5,163.5,5.7,11.54,11.54
"135","Taylor Lamb",46422,"QB","APP STATE",1,31,51.6,16,7,108,1,71,0,2,133,4.3,9,2017,12.32,12.32,1,"Appalachian State","Scott Satterfield",32,66.8,21,10,0.5,113.1,0.5,2.5,288,8.45,22.52,21.02
"136","Khalil Tate",40237,"QB","ARIZONA",1,17,58.8,10,8,109,1,117.9,0,2,275,16.2,9,2017,18,18,1,"Arizona","Rich Rodriguez",14.5,65.85,9.5,7.5,0.5,121.9,0,1.5,157,10.9,11.78,11.78
"137","Manny Wilkins",46604,"QB","ARIZONA ST",1,29,58.6,17,9,110,0,99.6,6,1,259,8.9,9,2017,14.36,14.36,1,"Arizona State","Todd Graham",35,68.1,24,9.5,0.5,74.15,1.5,0,192.5,5.4,7.2,7.2
"138","Justice Hansen",46349,"QB","ARK STATE",1,40,62.5,25,15,113,1,108,5,4,297,7.4,9,2017,26.88,26.88,1,"Arkansas State","Blake Anderson",37.5,62.7,23.5,15,0,114.05,2,3.5,280.5,7.45,25.22,25.22
"139","Cole Kelley",39945,"QB","ARKANSAS",1,30,63.3,19,12,111,1,100.6,4,3,189,6.3,9,2017,18.56,18.56,1,"Arkansas","Bret Bielema",34.5,55.6,19,9,0.5,70.2,5,0.5,181.5,5.5,8.76,8.76
