Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Darian Oxendine (23787059),Darian Oxendine,23787059,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,1.85
WR,Jalon Howard (23787083),Jalon Howard,23787083,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,0
WR,Kareem Burke (23787143),Kareem Burke,23787143,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,0
WR,Trevonte Davis (23787146),Trevonte Davis,23787146,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,0
WR,Michael Williams (23787158),Michael Williams,23787158,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,0
WR,Fenley Graham Jr. (23787164),Fenley Graham Jr.,23787164,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,0
WR,Derrick Hall (23787263),Derrick Hall,23787263,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,FAMU,0
WR,Tychaun Chapman (23787266),Tychaun Chapman,23787266,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,UNC,0
WR,Aiden Cloninger (23787269),Aiden Cloninger,23787269,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,UNC,0
WR,Landon Stevens (23787272),Landon Stevens,23787272,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,UNC,2
WR,Jeffrey Saturday (23787275),Jeffrey Saturday,23787275,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,UNC,0
WR,Thomas Flynn (23787278),Thomas Flynn,23787278,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,UNC,0
WR,Cyrus Rogers (23787281),Cyrus Rogers,23787281,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,UNC,0
WR,Kellan Hood (23787284),Kellan Hood,23787284,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,UNC,0
WR,Grady Sherrill (23787287),Grady Sherrill,23787287,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,UNC,0
WR,Brooks Miller (23787290),Brooks Miller,23787290,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,UNC,0
WR,Andre Greene Jr. (23787293),Andre Greene Jr.,23787293,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,UNC,0
WR,Michael Hall (23787296),Michael Hall,23787296,WR/FLEX/S-FLEX,3000,FAMU@UNC 08/27/2022 08:15PM ET,UNC,0
RB,Cross Patton (23786399),Cross Patton,23786399,RB/FLEX/S-FLEX,3000,NEV@NMST 08/27/2022 10:00PM ET,NEV,0
RB,Wesley Kommer (23786408),Wesley Kommer,23786408,RB/FLEX/S-FLEX,3000,NEV@NMST 08/27/2022 10:00PM ET,NEV,3.45
RB,Terrell Johnson (23786435),Terrell Johnson,23786435,RB/FLEX/S-FLEX,3000,NEV@NMST 08/27/2022 10:00PM ET,NEV,0
RB,Dylan Overstreet (23786459),Dylan Overstreet,23786459,RB/FLEX/S-FLEX,3000,NEV@NMST 08/27/2022 10:00PM ET,NEV,0.5
RB,Ty Collins (23786468),Ty Collins,23786468,RB/FLEX/S-FLEX,3000,NEV@NMST 08/27/2022 10:00PM ET,NEV,0
RB,Jacques Badolato-Birdsell (23786471),Jacques Badolato-Birdsell,23786471,RB/FLEX/S-FLEX,3000,NEV@NMST 08/27/2022 10:00PM ET,NEV,0
